time_s,P_conv_W,P_xy10_W,P_cr5_W,P_total_W,i_conv_A,v_belt_m_s,x_belt_m,T_motor_K,x_xy10_m,y_xy10_m,z_xy10_m,vacuum_p_Pa,q2_cr5_rad,q2_dot_rad_s,xy10_active,cr5_active
0.000000,3.720070,0.000000,0.000000,3.720070,0.005082,0.000000,0.000000,293.150000,0.000000,0.000000,0.000000,101325.000000,0.000000,0.000000,0,0
0.010000,4867.822016,0.000596,0.000000,4867.822612,9.107598,0.065137,0.000156,293.254392,0.000000,0.000000,-0.000000,101325.000000,0.001355,0.268196,0,0
0.020000,2522.284021,0.000564,0.000000,2522.284585,3.670061,0.206012,0.001593,293.321883,0.000000,0.000000,-0.000000,101325.000000,0.005300,0.517888,0,0
0.030000,-306.894331,0.000551,0.000000,-306.893780,4.606383,0.225855,0.003903,293.344718,0.000000,0.000000,-0.000000,101325.000000,0.011656,0.750676,0,0
0.040000,93.103546,0.000540,0.000000,93.104087,2.595500,0.159241,0.005756,293.344796,0.000000,0.000000,-0.000000,101325.000000,0.020262,0.967983,0,0
0.050000,1234.638339,0.000538,0.000000,1234.638877,1.697566,0.196799,0.007492,293.359838,0.000000,0.000000,-0.000000,101325.000000,0.030968,1.171024,0,0
0.060000,-70.571542,0.000535,0.000000,-70.571007,2.569473,0.225239,0.009670,293.375103,0.000000,0.000000,-0.000000,101325.000000,0.043638,1.360814,0,0
0.070000,-237.391134,0.000532,0.000000,-237.390602,2.860559,0.175280,0.011676,293.375088,0.000000,0.000000,-0.000000,101325.000000,0.058142,1.538186,0,0
0.080000,780.594772,0.000531,0.000000,780.595303,1.138654,0.188249,0.013436,293.381803,0.000000,0.000000,-0.000001,101325.000000,0.074362,1.703814,0,0
0.090000,216.615104,0.000530,0.000000,216.615634,1.707109,0.217981,0.015498,293.395261,0.000000,0.000000,-0.000001,101325.000000,0.092181,1.858232,0,0
0.100000,-307.999535,0.000530,0.000000,-307.999005,2.823178,0.187894,0.017561,293.395612,0.000000,0.000000,-0.000001,101325.000000,0.111490,2.001853,0,0
0.110000,467.504211,0.000529,0.000000,467.504740,1.142004,0.184844,0.019372,293.398438,0.000000,0.000000,-0.000001,101325.000000,0.132183,2.134984,0,0
0.120000,352.505038,0.000529,0.000000,352.505567,1.347302,0.210374,0.021357,293.409303,0.000000,0.000000,-0.000001,101325.000000,0.154156,2.257838,0,0
0.130000,-250.485815,0.000529,0.000000,-250.485286,2.570005,0.196150,0.023428,293.410675,0.000000,0.000000,-0.000001,101325.000000,0.177307,2.370539,0,0
0.140000,251.334597,0.000528,0.000000,251.335126,1.411872,0.184888,0.025297,293.411659,0.000000,0.000000,-0.000001,101325.000000,0.201534,2.473122,0,0
0.150000,381.104880,0.000528,0.000000,381.105408,1.233166,0.203976,0.027237,293.419795,0.000000,0.000000,-0.000001,101325.000000,0.226736,2.565547,0,0
0.160000,-141.387651,0.000528,0.000000,-141.387123,2.250967,0.200470,0.029292,293.422288,0.000000,0.000000,-0.000001,101325.000000,0.252811,2.647690,0,0
0.170000,112.140002,0.000528,0.000000,112.140530,1.659011,0.186958,0.031209,293.422512,0.000000,0.000000,-0.000001,101325.000000,0.279655,2.719360,0,0
0.180000,349.154155,0.000528,0.000000,349.154683,1.235134,0.199228,0.033128,293.428240,0.000000,0.000000,-0.000001,101325.000000,0.307162,2.780304,0,0
0.190000,-29.487600,0.000528,0.000000,-29.487072,1.964444,0.201928,0.035157,293.431688,0.000000,0.000000,-0.000001,101325.000000,0.335225,2.830236,0,0
0.200000,35.767417,0.000528,0.000000,35.767945,1.807112,0.189832,0.037110,293.431717,0.000000,0.000000,-0.000001,101325.000000,0.363730,2.868845,0,0
0.210000,291.002441,0.000528,0.000000,291.002969,1.301750,0.196116,0.039025,293.435534,0.000000,0.000000,-0.000001,101325.000000,0.392563,2.895847,0,0
0.220000,59.821016,0.000528,0.000000,59.821544,1.753463,0.201641,0.041029,293.439571,0.000000,0.000000,-0.000001,101325.000000,0.421609,2.911036,0,0
0.230000,6.987485,0.000528,0.000000,6.988013,1.860804,0.192626,0.043002,293.439686,0.000000,0.000000,-0.000001,101325.000000,0.450746,2.914322,0,0
0.240000,228.513931,0.000528,0.000000,228.514459,1.398992,0.194413,0.044924,293.442186,0.000000,0.000000,-0.000001,101325.000000,0.479858,2.905873,0,0
0.250000,118.500276,0.000528,0.000000,118.500804,1.621553,0.200502,0.046906,293.446238,0.000000,0.000000,-0.000001,101325.000000,0.508829,2.886159,0,0
0.260000,9.829149,0.000528,0.000000,9.829676,1.848513,0.194845,0.048889,293.446913,0.000000,0.000000,-0.000001,101325.000000,0.537550,2.856139,0,0
0.270000,173.813953,0.000528,0.000000,173.814481,1.497731,0.193786,0.050821,293.448632,0.000000,0.000000,-0.000001,101325.000000,0.565927,2.817422,0,0
0.280000,149.029863,0.000528,0.000000,149.030391,1.553657,0.199121,0.052788,293.452359,0.000000,0.000000,-0.000001,101325.000000,0.593882,2.772352,0,0
0.290000,29.702362,0.000528,0.000000,29.702890,1.801354,0.196327,0.054772,293.453823,0.000000,0.000000,-0.000001,101325.000000,0.621369,2.724237,0,0
0.300000,132.391225,0.000528,0.000000,132.391753,1.578779,0.193876,0.056716,293.455190,0.000000,0.000000,-0.000001,101325.000000,0.648376,2.677283,0,0
0.310000,158.481075,0.000528,0.000000,158.481603,1.530623,0.197854,0.058674,293.458459,0.000000,0.000000,-0.000001,101325.000000,0.674938,2.636569,0,0
0.320000,55.267434,0.000528,0.000000,55.267962,1.743977,0.197128,0.060655,293.460484,0.000000,0.000000,-0.000001,101325.000000,0.701145,2.607422,0,0
0.330000,105.298102,0.000528,0.000000,105.298630,1.634182,0.194354,0.062609,293.461797,0.000000,0.000000,-0.000001,101325.000000,0.727137,2.594446,0,0
0.340000,154.688472,0.000528,0.000000,154.689000,1.535443,0.196874,0.064563,293.464615,0.000000,0.000000,-0.000001,101325.000000,0.753094,2.600520,0,0
0.350000,79.161649,0.000528,0.000000,79.162177,1.691807,0.197409,0.066539,293.466970,0.000000,0.000000,-0.000001,101325.000000,0.779208,2.625416,0,0
0.360000,90.839436,0.000528,0.000000,90.839964,1.664475,0.194963,0.068500,293.468403,0.000000,0.000000,-0.000001,101325.000000,0.805651,2.665306,0,0
