time,chassis_joint.phi,chassis_joint.w,left_joint.phi,left_joint.w,Right_joint1.phi
0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.0013486028601253813,-0.26972049570857465,0.0,0.0,0.0
0.02,-0.0053943689332335894,-0.5394367457899543,0.0,0.0,0.0
0.03,-0.012137162703696382,-0.809137770069034,0.0,0.0,0.0
0.04,-0.02157640426208054,-1.0787820173627969,0.0,0.0,0.0
0.05,-0.03371186305353524,-1.3483529387427213,0.0,0.0,0.0
0.06,-0.048541474660386746,-1.6177514929388206,0.0,0.0,0.0
0.07,-0.06606386233460718,-1.886909689439768,0.0,0.0,0.0
0.08,-0.08627532794866712,-2.1556954525135867,0.0,0.0,0.0
0.09,-0.10917021434153627,-2.4238915096532083,0.0,0.0,0.0
0.1,-0.13474408016561565,-2.6914072126076,0.0,0.0,0.0
0.11,-0.1629804819941446,-2.957787773701704,0.0,0.0,0.0
0.12,-0.1938749996902284,-3.2229205411622983,0.0,0.0,0.0
0.13,-0.2274095102859678,-3.4863187104330677,0.0,0.0,0.0
0.14,-0.2635637890496049,-3.7475364510297604,0.0,0.0,0.0
0.15,-0.3023216593796353,-4.006219822456503,0.0,0.0,0.0
0.16,-0.3436384613219484,-4.261482219892107,0.0,0.0,0.0
0.17,-0.3874912132832574,-4.5129272302339025,0.0,0.0,0.0
0.18,-0.4338402502708136,-4.7598575475614915,0.0,0.0,0.0
0.19,-0.4826250471399937,-5.0013040299738805,0.0,0.0,0.0
0.2,-0.5337909499771302,-5.236468097060274,0.0,0.0,0.0
0.21,-0.5872769634229236,-5.464516846409505,0.0,0.0,0.0
0.22,-0.6430030296927485,-5.6844198493190365,0.0,0.0,0.0
0.23,-0.700881734961015,-5.895145431258758,0.0,0.0,0.0
0.24,-0.7608052448703605,-6.095527919347582,0.0,0.0,0.0
0.25,-0.8226798918883027,-6.284731382629289,0.0,0.0,0.0
0.26,-0.8863824767994398,-6.461611676591804,0.0,0.0,0.0
0.27,-0.9517942426619477,-6.625167586952926,0.0,0.0,0.0
0.28,-1.0187544932632442,-6.774229876515008,0.0,0.0,0.0
0.29,-1.0871461598891616,-6.907764911717598,0.0,0.0,0.0
0.3,-1.1567768101619416,-7.025003936895618,0.0,0.0,0.0
0.31,-1.2274995538426128,-7.124950955852214,0.0,0.0,0.0
0.32,-1.299146981350406,-7.206813836579706,0.0,0.0,0.0
0.33,-1.371506459007737,-7.270223156248052,0.0,0.0,0.0
0.34,-1.4444227114558505,-7.314239687469444,0.0,0.0,0.0
0.35000000000000003,-1.517678295148334,-7.339004668806072,0.0,0.0,0.0
0.36,-1.591087550673703,-7.344005404602212,0.0,0.0,0.0
0.37,-1.6644605110707955,-7.328963455965354,0.0,0.0,0.0
0.38,-1.7375903851930075,-7.294346670111568,0.0,0.0,0.0
0.39,-1.8102799927727307,-7.240127406378287,0.0,0.0,0.0
0.4,-1.8823419696819819,-7.1668469278510845,0.0,0.0,0.0
0.41000000000000003,-1.9535810566441882,-7.075098147877764,0.0,0.0,0.0
0.42,-2.023809638111787,-6.965588157748419,0.0,0.0,0.0
0.43,-2.0928651404703733,-6.839092451251853,0.0,0.0,0.0
0.44,-2.1605676569855796,-6.696650844472752,0.0,0.0,0.0
0.45,-2.226770989039917,-6.539127102325485,0.0,0.0,0.0
0.46,-2.2913266576686135,-6.367625560589301,0.0,0.0,0.0
0.47000000000000003,-2.3540967435537237,-6.183279160875502,0.0,0.0,0.0
0.48,-2.414963668102303,-5.987039820924597,0.0,0.0,0.0
0.49,-2.4738109917989415,-5.780148706276491,0.0,0.0,0.0
0.5,-2.530538399621364,-5.563564862446221,0.0,0.0,0.0
0.51,-2.5850551901761505,-5.338376665080854,0.0,0.0,0.0
0.52,-2.6372807926369433,-5.105649592614668,0.0,0.0,0.0
0.53,-2.687143651780036,-4.866262428730347,0.0,0.0,0.0
0.54,-2.7345837952539287,-4.621149839771516,0.0,0.0,0.0
0.55,-2.779547005496457,-4.371139127034685,0.0,0.0,0.0
0.56,-2.8219886513727728,-4.116968103183785,0.0,0.0,0.0
0.5700000000000001,-2.8618695791687054,-3.8592925344338345,0.0,0.0,0.0
0.58,-2.8991506950207464,-3.598741611073114,0.0,0.0,0.0
0.59,-2.93380771901277,-3.3358290216407633,0.0,0.0,0.0
0.6,-2.9658207561129486,-3.071007155881997,0.0,0.0,0.0
0.61,-2.9951742690278467,-2.8046916356121048,0.0,0.0,0.0
0.62,-3.0218526516423934,-2.53732579689983,0.0,0.0,0.0
0.63,-3.0458559559056795,-2.269151594804057,0.0,0.0,0.0
0.64,-3.0671869378807015,-2.000398304982196,0.0,0.0,0.0
0.65,-3.0858218475995836,-1.7312905209242644,0.0,0.0,0.0
0.66,-3.1017608679624353,-1.4619582192919673,0.0,0.0,0.0
0.67,-3.1150139932870258,-1.1924619390537499,0.0,0.0,0.0
0.68,-3.125582328186764,-0.9228606449825139,0.0,0.0,0.0
0.6900000000000001,-3.1334448994440187,-0.6533351033509742,0.0,0.0,0.0
0.7000000000000001,-3.1386154887337776,-0.38378857775256986,0.0,0.0,0.0
0.71,-3.1410977967393454,-0.1141618440228553,0.0,0.0,0.0
0.72,-3.1408864667639165,0.15546590056330753,0.0,0.0,0.0
0.73,-3.1379816350178453,0.42512811883245066,0.0,0.0,0.0
0.74,-3.1323851018392705,0.6948709945269308,0.0,0.0,0.0
0.75,-3.124091156629196,0.9645606858367365,0.0,0.0,0.0
0.76,-3.113100038911669,1.2342336027577205,0.0,0.0,0.0
0.77,-3.099414289152388,1.5037531788491398,0.0,0.0,0.0
0.78,-3.083032486264906,1.7730992316624614,0.0,0.0,0.0
0.79,-3.0639597165023313,2.04211527162122,0.0,0.0,0.0
0.8,-3.0421991015195013,2.310682452231638,0.0,0.0,0.0
0.81,-3.017755427737038,2.5786312528553204,0.0,0.0,0.0
0.8200000000000001,-2.990639852430119,2.845641067008611,0.0,0.0,0.0
0.8300000000000001,-2.960856522196827,3.1115662356936302,0.0,0.0,0.0
0.84,-2.928429203348285,3.3758427104555055,0.0,0.0,0.0
0.85,-2.8933647677857133,3.638258772754784,0.0,0.0,0.0
0.86,-2.8556929191020157,3.8982059101252315,0.0,0.0,0.0
0.87,-2.815438097768547,4.155162263141624,0.0,0.0,0.0
0.88,-2.7726249445356514,4.4086278167345805,0.0,0.0,0.0
0.89,-2.727301679670843,4.657779178651436,0.0,0.0,0.0
0.9,-2.679504329801287,4.90195820151812,0.0,0.0,0.0
0.91,-2.6292983714335647,5.140263728712416,0.0,0.0,0.0
0.92,-2.576742656357,5.371798308186148,0.0,0.0,0.0
