time_s,power_W,I0_rms_A,I1_rms_A,label
0.000,-0.47,0.126,0.222,idle
0.020,-0.48,0.125,0.219,idle
0.040,-0.50,0.123,0.218,idle
0.060,-0.52,0.121,0.219,idle
0.080,-0.54,0.124,0.217,idle
0.100,-0.56,0.125,0.219,idle
0.120,-0.58,0.126,0.223,idle
0.140,-0.60,0.127,0.221,idle
0.160,-0.61,0.122,0.222,idle
0.180,-0.63,0.120,0.221,idle
0.200,-0.65,0.123,0.218,idle
0.220,-0.67,0.125,0.218,idle
0.240,-0.69,0.126,0.222,idle
0.260,-0.71,0.127,0.221,idle
0.280,-0.73,0.126,0.221,idle
0.300,-0.75,0.123,0.220,idle
0.320,-0.77,0.123,0.222,idle
0.340,-0.78,0.123,0.220,idle
0.360,-0.80,0.124,0.223,idle
0.380,-0.82,0.125,0.222,idle
0.400,-0.84,0.125,0.222,idle
0.420,-0.86,0.125,0.222,idle
0.440,-0.88,0.126,0.221,idle
0.460,-0.90,0.127,0.226,idle
0.480,-0.92,0.124,0.220,idle
0.500,-0.94,0.128,0.222,idle
0.520,-0.94,0.124,0.220,idle
0.540,-0.94,0.123,0.219,idle
0.560,-0.94,0.125,0.221,idle
0.580,-0.94,0.125,0.218,idle
0.600,-0.94,0.121,0.220,idle
0.620,-0.94,0.126,0.221,idle
0.640,-0.94,0.126,0.219,idle
0.660,-0.94,0.129,0.221,idle
0.680,-0.94,0.126,0.222,idle
0.700,-0.94,0.121,0.217,idle
0.720,-0.94,0.123,0.219,idle
0.740,-0.94,0.130,0.224,idle
0.760,-0.94,0.121,0.219,idle
0.780,-0.94,0.124,0.221,idle
0.800,-0.94,0.127,0.224,idle
0.820,-0.94,0.120,0.218,idle
0.840,-0.94,0.127,0.221,idle
0.860,-0.94,0.125,0.222,idle
0.880,-0.94,0.123,0.218,idle
0.900,-0.94,0.129,0.221,idle
0.920,-0.94,0.129,0.221,idle
0.940,-0.94,0.123,0.220,idle
0.960,-0.94,0.126,0.221,idle
0.980,-0.94,0.126,0.220,idle
1.000,-0.94,0.127,0.219,idle
1.020,-0.94,0.123,0.221,idle
1.040,-0.94,0.124,0.221,idle
1.060,-0.94,0.126,0.221,idle
1.080,-0.94,0.125,0.220,idle
1.100,-0.94,0.125,0.217,idle
1.120,-0.94,0.126,0.221,idle
1.140,-0.94,0.126,0.219,idle
1.160,-0.94,0.127,0.220,idle
1.180,-0.94,0.125,0.222,idle
1.200,-0.94,0.126,0.221,idle
1.220,-0.94,0.127,0.220,idle
