time_s,power_W,I0_rms_A,I1_rms_A,label
0.000,0.36,0.008,0.038,idle
0.020,0.36,0.008,0.039,idle
0.040,0.39,0.008,0.040,idle
0.060,0.38,0.009,0.040,idle
0.080,0.38,0.008,0.047,idle
0.100,0.39,0.008,0.040,idle
0.120,0.42,0.009,0.037,idle
0.140,0.42,0.009,0.036,idle
0.160,0.40,0.008,0.040,idle
0.180,0.42,0.008,0.039,idle
0.200,0.45,0.008,0.043,idle
0.220,0.43,0.008,0.041,idle
0.240,0.47,0.008,0.041,idle
0.260,0.49,0.008,0.040,idle
0.280,0.53,0.008,0.041,idle
0.300,0.55,0.007,0.041,idle
0.320,0.56,0.007,0.042,idle
0.340,0.57,0.007,0.038,idle
0.360,0.59,0.007,0.044,idle
0.380,0.56,0.007,0.039,idle
0.400,0.59,0.008,0.038,idle
0.420,0.62,0.008,0.042,idle
0.440,0.60,0.008,0.040,idle
0.460,0.60,0.008,0.039,idle
0.480,0.56,0.008,0.040,idle
0.500,0.51,0.008,0.041,idle
0.520,0.39,0.008,0.043,idle
0.540,0.75,0.008,0.039,idle
0.560,1.14,0.007,0.040,idle
0.580,1.12,0.008,0.038,idle
0.600,0.95,0.008,0.041,idle
0.620,0.63,0.008,0.040,idle
0.640,0.60,0.008,0.041,idle
0.660,0.90,0.007,0.042,idle
0.680,0.94,0.008,0.036,idle
0.700,1.00,0.008,0.037,idle
0.720,0.90,0.007,0.040,idle
0.740,0.78,0.008,0.038,idle
0.760,0.84,0.007,0.037,idle
0.780,0.87,0.008,0.035,idle
0.800,0.79,0.008,0.040,idle
0.820,0.76,0.008,0.038,idle
0.840,0.69,0.008,0.039,idle
0.860,0.64,0.008,0.042,idle
0.880,0.68,0.008,0.037,idle
0.900,0.69,0.009,0.036,idle
0.920,0.67,0.009,0.045,idle
0.940,0.65,0.008,0.042,idle
0.960,0.67,0.008,0.038,idle
0.980,0.69,0.009,0.045,idle
1.000,0.72,0.008,0.076,idle
1.020,0.73,0.009,0.131,idle
1.040,0.73,0.010,0.120,idle
1.060,0.74,0.010,0.116,idle
1.080,0.71,0.008,0.072,idle
1.100,0.70,0.008,0.090,idle
1.120,0.64,0.008,0.116,idle
1.140,0.66,0.009,0.086,idle
1.160,0.70,0.009,0.066,idle
1.180,0.68,0.007,0.047,idle
1.200,0.65,0.008,0.044,idle
1.220,0.72,0.008,0.048,idle
1.240,0.69,0.008,0.041,idle
1.260,0.68,0.008,0.039,idle
1.280,0.64,0.008,0.042,idle
1.300,0.66,0.007,0.038,idle
1.320,0.70,0.008,0.045,idle
1.340,0.69,0.007,0.042,idle
1.360,0.63,0.007,0.038,idle
1.380,0.69,0.008,0.039,idle
1.400,0.72,0.008,0.039,idle
1.420,0.71,0.008,0.039,idle
1.440,0.73,0.008,0.040,idle
1.460,0.75,0.008,0.037,idle
1.480,0.82,0.007,0.032,idle
1.500,0.86,0.008,0.037,idle
1.520,0.97,0.007,0.040,idle
1.540,0.59,0.008,0.035,idle
1.560,0.22,0.007,0.036,idle
1.580,0.21,0.007,0.040,idle
1.600,0.36,0.008,0.039,idle
1.620,0.67,0.008,0.037,idle
1.640,0.72,0.008,0.036,idle
1.660,0.41,0.007,0.042,idle
1.680,0.37,0.007,0.041,idle
1.700,0.40,0.008,0.035,idle
1.720,0.43,0.008,0.033,idle
1.740,0.48,0.008,0.043,idle
1.760,0.44,0.008,0.038,idle
1.780,0.35,0.008,0.037,idle
1.800,0.43,0.007,0.038,idle
1.820,0.39,0.007,0.043,idle
1.840,0.44,0.008,0.039,idle
1.860,0.43,0.008,0.038,idle
1.880,0.42,0.008,0.037,idle
1.900,0.38,0.007,0.039,idle
1.920,0.36,0.008,0.038,idle
1.940,0.37,0.007,0.038,idle
1.960,0.37,0.007,0.038,idle
1.980,0.33,0.007,0.039,idle
2.000,0.35,0.007,0.039,idle
2.020,0.34,0.008,0.037,idle
2.040,0.32,0.008,0.037,idle
2.060,0.33,0.007,0.044,idle
2.080,0.34,0.008,0.040,idle
2.100,0.35,0.008,0.039,idle
2.120,0.36,0.007,0.041,idle
2.140,0.36,0.007,0.038,idle
2.160,0.35,0.007,0.037,idle
2.180,0.34,0.008,0.038,idle
2.200,0.36,0.007,0.034,idle
2.220,0.33,0.008,0.041,idle
2.240,0.31,0.008,0.040,idle
2.260,0.27,0.007,0.034,idle
2.280,0.29,0.008,0.040,idle
2.300,0.27,0.008,0.038,idle
2.320,0.23,0.008,0.039,idle
2.340,0.27,0.007,0.039,idle
2.360,0.36,0.007,0.036,idle
2.380,0.35,0.008,0.036,idle
2.400,0.31,0.008,0.037,idle
2.420,0.28,0.007,0.037,idle
2.440,0.27,0.007,0.037,idle
2.460,0.22,0.007,0.039,idle
2.480,0.16,0.007,0.038,idle
2.500,0.14,0.008,0.039,idle
2.520,0.11,0.008,0.035,idle
2.540,0.13,0.008,0.033,idle
2.560,0.15,0.007,0.035,idle
2.580,0.14,0.007,0.037,idle
2.600,0.18,0.007,0.039,idle
2.620,0.16,0.007,0.039,idle
2.640,0.10,0.008,0.036,idle
2.660,0.13,0.007,0.035,idle
2.680,0.12,0.007,0.037,idle
2.700,0.12,0.008,0.037,idle
2.720,0.15,0.008,0.040,idle
2.740,0.15,0.007,0.034,idle
2.760,0.11,0.008,0.040,idle
2.780,0.18,0.007,0.037,idle
2.800,0.13,0.007,0.036,idle
